t,energy,enstrophy
1.320950317382812500e+01,4.157249815762042999e-03,1.559645868837833405e-02
1.330709457397460938e+01,4.211036954075098038e-03,1.546350214630365372e-02
1.340468406677246094e+01,4.266242496669292450e-03,1.533270161598920822e-02
1.350226593017578125e+01,4.327940754592418671e-03,1.522086840122938156e-02
1.361610221862792969e+01,4.407801199704408646e-03,1.511150598526000977e-02
1.371368694305419922e+01,4.468568600714206696e-03,1.498855836689472198e-02
1.381127071380615234e+01,4.530895967036485672e-03,1.486747153103351593e-02
1.390885448455810547e+01,4.594902507960796356e-03,1.474845688790082932e-02
1.400643062591552734e+01,4.665252752602100372e-03,1.464513316750526428e-02
1.410400581359863281e+01,4.738641437143087387e-03,1.454680971801280975e-02
1.420158100128173828e+01,4.813753534108400345e-03,1.444938126951456070e-02
1.431543636322021484e+01,4.880326800048351288e-03,1.427299156785011292e-02
1.441301155090332031e+01,4.954443778842687607e-03,1.416596025228500366e-02
1.451058292388916016e+01,5.032713059335947037e-03,1.406636461615562439e-02
1.460815334320068359e+01,5.112879909574985504e-03,1.396789308637380600e-02
1.470572280883789062e+01,5.194689147174358368e-03,1.386978477239608765e-02
1.480329227447509766e+01,5.278135649859905243e-03,1.377196609973907471e-02
1.490086078643798828e+01,5.358714610338211060e-03,1.366369146853685379e-02
1.501471996307373047e+01,5.416873376816511154e-03,1.345097273588180542e-02
1.511228656768798828e+01,5.501097999513149261e-03,1.334638521075248718e-02
1.520985317230224609e+01,5.586999468505382538e-03,1.324234250932931900e-02
1.530741786956787109e+01,5.674391053617000580e-03,1.313839200884103775e-02
1.540498352050781250e+01,5.763226188719272614e-03,1.303440332412719727e-02
1.550254726409912109e+01,5.853509996086359024e-03,1.293038018047809601e-02
1.560011100769042969e+01,5.945223849266767502e-03,1.282627321779727936e-02
1.571396160125732422e+01,6.013952661305665970e-03,1.262751873582601547e-02
1.581153011322021484e+01,6.101218517869710922e-03,1.251093018800020218e-02
1.590909385681152344e+01,6.192627362906932831e-03,1.239986345171928406e-02
1.600665473937988281e+01,6.287430878728628159e-03,1.229257788509130478e-02
1.610421371459960938e+01,6.383826490491628647e-03,1.218567509204149246e-02
1.620177459716796875e+01,6.481606978923082352e-03,1.207878068089485168e-02
1.631559371948242188e+01,6.593881640583276749e-03,1.194823067635297775e-02
1.641316032409667969e+01,6.684107705950737000e-03,1.182455290108919144e-02
1.651072502136230469e+01,6.777241826057434082e-03,1.170414313673973083e-02
1.660828399658203125e+01,6.876579485833644867e-03,1.159184984862804413e-02
1.670583915710449219e+01,6.979453843086957932e-03,1.148311793804168701e-02
1.680339431762695312e+01,7.076389156281948090e-03,1.136391703039407730e-02
1.690094947814941406e+01,7.172582671046257019e-03,1.124243624508380890e-02
1.701476478576660156e+01,7.289249915629625320e-03,1.110552623867988586e-02
1.711231803894042969e+01,7.390710059553384781e-03,1.098890136927366257e-02
1.720987129211425781e+01,7.491724565625190735e-03,1.087059918791055679e-02
1.730742645263671875e+01,7.587892003357410431e-03,1.074516493827104568e-02
1.740498161315917969e+01,7.683790754526853561e-03,1.061890367418527603e-02
1.750253677368164062e+01,7.780388463288545609e-03,1.049312204122543335e-02
1.760009193420410156e+01,7.877811789512634277e-03,1.036802213639020920e-02
1.771388053894042969e+01,8.035983890295028687e-03,1.027301698923110962e-02
1.781142997741699219e+01,8.138188160955905914e-03,1.015160791575908661e-02
1.790898132324218750e+01,8.240191265940666199e-03,1.002970524132251740e-02
1.800653076171875000e+01,8.340195752680301666e-03,9.905508719384670258e-03
1.810408020019531250e+01,8.441908285021781921e-03,9.783128276467323303e-03
1.820162773132324219e+01,8.549417369067668915e-03,9.666675701737403870e-03
1.831543922424316406e+01,8.655569516122341156e-03,9.511568583548069000e-03
1.841297912597656250e+01,8.766446262598037720e-03,9.398568421602249146e-03
1.851051902770996094e+01,8.882340975105762482e-03,9.290121495723724365e-03
1.860805511474609375e+01,8.999928832054138184e-03,9.182937443256378174e-03
1.870559310913085938e+01,9.115152992308139801e-03,9.073365479707717896e-03
1.880313301086425781e+01,9.218006394803524017e-03,8.952915668487548828e-03
1.890067672729492188e+01,9.318304248154163361e-03,8.830813691020011902e-03
1.901448059082031250e+01,9.424909017980098724e-03,8.680626749992370605e-03
1.911201286315917969e+01,9.536908008158206940e-03,8.569739758968353271e-03
1.920955085754394531e+01,9.642739780247211456e-03,8.454324677586555481e-03
1.930708885192871094e+01,9.747808799147605896e-03,8.338962681591510773e-03
1.940462684631347656e+01,9.853236377239227295e-03,8.224579505622386932e-03
1.950216293334960938e+01,9.960260242223739624e-03,8.112119510769844055e-03
1.961594772338867188e+01,1.010019145905971527e-02,7.992564700543880463e-03
1.971348571777343750e+01,1.020108908414840698e-02,7.877231575548648834e-03
1.981102180480957031e+01,1.030202396214008331e-02,7.762959226965904236e-03
1.990855979919433594e+01,1.040318142622709274e-02,7.649900391697883606e-03
2.000609207153320312e+01,1.051010750234127045e-02,7.541648112237453461e-03
2.010362243652343750e+01,1.062376610934734344e-02,7.438577245920896530e-03
2.020115089416503906e+01,1.074190158396959305e-02,7.339022122323513031e-03
2.031492996215820312e+01,1.088426634669303894e-02,7.226434536278247833e-03
2.041246223449707031e+01,1.098821870982646942e-02,7.120001129806041718e-03
2.050999259948730469e+01,1.109868008643388748e-02,7.018417585641145706e-03
2.060751914978027344e+01,1.120926160365343094e-02,6.917879451066255569e-03
2.070504760742187500e+01,1.131302304565906525e-02,6.814613472670316696e-03
2.080257415771484375e+01,1.141814142465591431e-02,6.713252514600753784e-03
2.090010261535644531e+01,1.152397692203521729e-02,6.613429635763168335e-03
