t,energy
0.000000000000000000e+00,8.924695849418640137e-02
3.176363557577133179e-02,8.216073364019393921e-02
6.696034967899322510e-02,7.807654142379760742e-02
1.028946638107299805e-01,7.475540041923522949e-02
1.394950449466705322e-01,7.183659076690673828e-02
1.767400801181793213e-01,6.918217241764068604e-02
2.146247774362564087e-01,6.672134250402450562e-02
2.531611621379852295e-01,6.441125273704528809e-02
2.923480272293090820e-01,6.222477555274963379e-02
3.322175741195678711e-01,6.014133617281913757e-02
3.727692067623138428e-01,5.814756825566291809e-02
4.140279293060302734e-01,5.623218417167663574e-02
4.560110270977020264e-01,5.438672751188278198e-02
4.987517595291137695e-01,5.260392278432846069e-02
5.422665476799011230e-01,5.087846890091896057e-02
5.865833759307861328e-01,4.920564591884613037e-02
6.317179203033447266e-01,4.758195579051971436e-02
6.777101755142211914e-01,4.600361362099647522e-02
7.245858311653137207e-01,4.446797817945480347e-02
7.723804116249084473e-01,4.297243058681488037e-02
8.211362361907958984e-01,4.151460900902748108e-02
8.708813190460205078e-01,4.009287059307098389e-02
9.216664433479309082e-01,3.870522230863571167e-02
9.735244512557983398e-01,3.735043853521347046e-02
1.026499271392822266e+00,3.602717071771621704e-02
1.080642104148864746e+00,3.473414480686187744e-02
1.135998368263244629e+00,3.347039222717285156e-02
1.192633152008056641e+00,3.223467618227005005e-02
1.250611186027526855e+00,3.102601505815982819e-02
1.309987068176269531e+00,2.984379976987838745e-02
1.370821595191955566e+00,2.868741191923618317e-02
1.433180570602416992e+00,2.755627781152725220e-02
1.497149109840393066e+00,2.644962072372436523e-02
1.562819480895996094e+00,2.536677569150924683e-02
1.630250096321105957e+00,2.430771850049495697e-02
1.699546098709106445e+00,2.327180653810501099e-02
1.770823955535888672e+00,2.225846052169799805e-02
1.844159483909606934e+00,2.126779034733772278e-02
1.919683575630187988e+00,2.029925584793090820e-02
1.997529745101928711e+00,1.935255154967308044e-02
2.077804327011108398e+00,1.842777058482170105e-02
2.160681009292602539e+00,1.752442121505737305e-02
2.246294498443603516e+00,1.664262451231479645e-02
2.334828615188598633e+00,1.578212901949882507e-02
2.426450014114379883e+00,1.494304370135068893e-02
2.520999431610107422e+00,1.414411328732967377e-02
2.605819702148437500e+00,1.359316334128379822e-02
2.687634468078613281e+00,1.299492269754409790e-02
2.769402027130126953e+00,1.243548281490802765e-02
2.851135253906250000e+00,1.191336847841739655e-02
2.932837724685668945e+00,1.142565347254276276e-02
3.014520406723022461e+00,1.097420509904623032e-02
3.096182107925415039e+00,1.055821869522333145e-02
3.177824735641479492e+00,1.017628423869609833e-02
3.259452104568481445e+00,9.827363304793834686e-03
3.341065168380737305e+00,9.511128067970275879e-03
3.422666072845458984e+00,9.228826500475406647e-03
3.504254341125488281e+00,8.977537974715232849e-03
3.585830688476562500e+00,8.758109062910079956e-03
3.667396068572998047e+00,8.571026846766471863e-03
3.748949766159057617e+00,8.415959775447845459e-03
3.830495595932006836e+00,8.292310871183872223e-03
3.912033319473266602e+00,8.195482194423675537e-03
3.993562698364257812e+00,8.123422041535377502e-03
4.075080871582031250e+00,8.078284561634063721e-03
4.156587600708007812e+00,8.057732135057449341e-03
4.238087177276611328e+00,8.047636598348617554e-03
4.319577217102050781e+00,8.050874806940555573e-03
4.401056766510009766e+00,8.059741929173469543e-03
4.482527732849121094e+00,8.063760586082935333e-03
4.563983917236328125e+00,8.072995580732822418e-03
4.645431041717529297e+00,8.062839508056640625e-03
4.726869106292724609e+00,8.037558756768703461e-03
4.808299541473388672e+00,7.998470216989517212e-03
4.889721393585205078e+00,7.959787733852863312e-03
4.971140861511230469e+00,7.919719442725181580e-03
5.052556514739990234e+00,7.880536839365959167e-03
5.133973121643066406e+00,7.852463051676750183e-03
5.215386867523193359e+00,7.828190922737121582e-03
5.296798706054687500e+00,7.815977558493614197e-03
5.378211498260498047e+00,7.810579147189855576e-03
5.459621429443359375e+00,7.821866311132907867e-03
5.541031837463378906e+00,7.840618491172790527e-03
5.622442722320556641e+00,7.861810736358165741e-03
5.703852653503417969e+00,7.898902520537376404e-03
5.785261154174804688e+00,7.949446327984333038e-03
5.866670131683349609e+00,8.002420887351036072e-03
5.948079109191894531e+00,8.063440211117267609e-03
