t,energy
6.564022064208984375e+00,1.965893665328621864e-03
6.613046169281005859e+00,1.938063185662031174e-03
6.662027835845947266e+00,1.915458589792251587e-03
6.711059570312500000e+00,1.888906816020607948e-03
6.760018825531005859e+00,1.870539621450006962e-03
6.809057235717773438e+00,1.845034421421587467e-03
6.857995510101318359e+00,1.830938272178173065e-03
6.907039642333984375e+00,1.806264976039528847e-03
6.955958843231201172e+00,1.796222291886806488e-03
7.005003929138183594e+00,1.772577874362468719e-03
7.053912162780761719e+00,1.765104709193110466e-03
7.102943897247314453e+00,1.744102919474244118e-03
7.151854991912841797e+00,1.738376333378255367e-03
7.200870990753173828e+00,1.720349420793354511e-03
7.266149520874023438e+00,1.707060728222131729e-03
7.315063953399658203e+00,1.704099937342107296e-03
7.364058494567871094e+00,1.690850011073052883e-03
7.412973880767822266e+00,1.689514960162341595e-03
7.461956977844238281e+00,1.678995322436094284e-03
7.510872840881347656e+00,1.679298467934131622e-03
7.559845447540283203e+00,1.671380363404750824e-03
7.608760833740234375e+00,1.673366758041083813e-03
7.657724857330322266e+00,1.667900709435343742e-03
7.706639289855957031e+00,1.671648118644952774e-03
7.755595684051513672e+00,1.668464159592986107e-03
7.804507732391357422e+00,1.674082712270319462e-03
7.853457927703857422e+00,1.672984566539525986e-03
7.902366638183593750e+00,1.680624438449740410e-03
7.951312541961669922e+00,1.681387657299637794e-03
8.000217437744140625e+00,1.691235927864909172e-03
8.065447807312011719e+00,1.699112588539719582e-03
8.114376068115234375e+00,1.705012982711195946e-03
8.163290977478027344e+00,1.713020610623061657e-03
8.212196350097656250e+00,1.725278329104185104e-03
8.261127471923828125e+00,1.730233547277748585e-03
8.310009002685546875e+00,1.749707153066992760e-03
8.358958244323730469e+00,1.750702853314578533e-03
8.407816886901855469e+00,1.775730284862220287e-03
8.456766128540039062e+00,1.776670571416616440e-03
8.505625724792480469e+00,1.802054233849048615e-03
8.554561614990234375e+00,1.807064749300479889e-03
8.603428840637207031e+00,1.831656787544488907e-03
8.652352333068847656e+00,1.841268502175807953e-03
8.701227188110351562e+00,1.864599995315074921e-03
8.750136375427246094e+00,1.879313844256103039e-03
8.815322875976562500e+00,1.906836754642426968e-03
8.864213943481445312e+00,1.926901633851230145e-03
8.913097381591796875e+00,1.951401820406317711e-03
8.961998939514160156e+00,1.968726515769958496e-03
9.010868072509765625e+00,1.999970525503158569e-03
9.059781074523925781e+00,2.013883786275982857e-03
9.108634948730468750e+00,2.049170434474945068e-03
9.157541275024414062e+00,2.066383603960275650e-03
9.206410408020019531e+00,2.094991970807313919e-03
9.255289077758789062e+00,2.121193101629614830e-03
9.304166793823242188e+00,2.147693885490298271e-03
9.353044509887695312e+00,2.173807471990585327e-03
9.401912689208984375e+00,2.205780707299709320e-03
9.450798034667968750e+00,2.229598583653569221e-03
9.515964508056640625e+00,2.268736716359853745e-03
9.564813613891601562e+00,2.311311895027756691e-03
9.613710403442382812e+00,2.330425661057233810e-03
9.662549018859863281e+00,2.379935001954436302e-03
9.711452484130859375e+00,2.396456897258758545e-03
9.760288238525390625e+00,2.443682169541716576e-03
9.809170722961425781e+00,2.473428845405578613e-03
9.858036994934082031e+00,2.505484968423843384e-03
9.906881332397460938e+00,2.538709901273250580e-03
9.955715179443359375e+00,2.562622074037790298e-03
1.000456333160400391e+01,2.571373246610164642e-03
1.005336475372314453e+01,2.610910218209028244e-03
1.010223293304443359e+01,2.609305782243609428e-03
1.015101814270019531e+01,2.653142670169472694e-03
1.021612644195556641e+01,2.678746590390801430e-03
1.026497745513916016e+01,2.688009524717926979e-03
1.031378746032714844e+01,2.718109637498855591e-03
1.036262130737304688e+01,2.733097877353429794e-03
1.041142940521240234e+01,2.765138866379857063e-03
1.046027278900146484e+01,2.772492822259664536e-03
1.050906848907470703e+01,2.808697056025266647e-03
1.055790901184082031e+01,2.818656386807560921e-03
1.060671234130859375e+01,2.850028453394770622e-03
1.065554141998291016e+01,2.867609262466430664e-03
1.070435428619384766e+01,2.893127501010894775e-03
1.075317573547363281e+01,2.911679912358522415e-03
1.080198287963867188e+01,2.941358601674437523e-03
1.085080814361572266e+01,2.956021809950470924e-03
1.091588783264160156e+01,2.988982712849974632e-03
1.096470260620117188e+01,3.009223612025380135e-03
1.101350784301757812e+01,3.034713445231318474e-03
1.106232166290283203e+01,3.056768327951431274e-03
1.111113643646240234e+01,3.074883716180920601e-03
1.115993499755859375e+01,3.108585719019174576e-03
1.120876312255859375e+01,3.117197193205356598e-03
1.125755310058593750e+01,3.151676151901483536e-03
1.130637264251708984e+01,3.168383846059441566e-03
1.135517692565917969e+01,3.192104166373610497e-03
1.140398311614990234e+01,3.214253811165690422e-03
1.145278453826904297e+01,3.241438884288072586e-03
1.150160026550292969e+01,3.255118150264024734e-03
1.155038833618164062e+01,3.294250927865505219e-03
1.161545944213867188e+01,3.323635319247841835e-03
1.166428279876708984e+01,3.333266824483871460e-03
1.171307277679443359e+01,3.364576492458581924e-03
1.176187896728515625e+01,3.384582931175827980e-03
1.181067657470703125e+01,3.411139827221632004e-03
1.185948467254638672e+01,3.427147632464766502e-03
1.190827178955078125e+01,3.464048728346824646e-03
1.195709228515625000e+01,3.469954710453748703e-03
1.200586700439453125e+01,3.514533396810293198e-03
1.205469036102294922e+01,3.519932972267270088e-03
1.210347175598144531e+01,3.557520918548107147e-03
1.215228176116943359e+01,3.575255628675222397e-03
1.220107555389404297e+01,3.602120792493224144e-03
1.226613712310791016e+01,3.636946436017751694e-03
1.231494235992431641e+01,3.653201274573802948e-03
1.236372470855712891e+01,3.692137775942683220e-03
1.241254234313964844e+01,3.699039341881871223e-03
1.246131420135498047e+01,3.746755886822938919e-03
1.251013660430908203e+01,3.750403411686420441e-03
1.255891132354736328e+01,3.793410724028944969e-03
1.260772228240966797e+01,3.807976376265287399e-03
1.265650939941406250e+01,3.840215969830751419e-03
1.270530605316162109e+01,3.866518381983041763e-03
1.275410175323486328e+01,3.891067346557974815e-03
1.280289554595947266e+01,3.917398862540721893e-03
1.285168647766113281e+01,3.948688507080078125e-03
